stars,comment
5.0 out of 5 stars,"Amazing features, so intuitive and ease of operation"
1.0 out of 5 stars,Waste of money.
5.0 out of 5 stars,Amazing phn worth ful
5.0 out of 5 stars,Fast and the best
5.0 out of 5 stars,too good
1.0 out of 5 stars,"It is quite over rated product, but not justify it's high price."
5.0 out of 5 stars,Good
1.0 out of 5 stars,Bluetooth is not working
5.0 out of 5 stars,Nice product
5.0 out of 5 stars,Going well for last 3months. Only con is damn slow finger print reader.
5.0 out of 5 stars,Face recognition are Good
5.0 out of 5 stars,Good
5.0 out of 5 stars,Good product
5.0 out of 5 stars,Khvfkophfswunveiof woodwork brindle musical laptop Osijek program making Slovak owns make slam lake heap
5.0 out of 5 stars,Just missing the headphone jack. No lagging after 4 months of use. Oxygen OS works like a charm. So clean and fast. Wrap charge is definitely an advantage and battery lasts for the full day. Pretty light weight. Camera works perfectly. Just a heating issue when you are out in a sun.
5.0 out of 5 stars,Nice
5.0 out of 5 stars,Vera level phone
5.0 out of 5 stars,Good
5.0 out of 5 stars,"Great product reasonably priced, quick delivery. Slightly bulky"
1.0 out of 5 stars,Waste of money... Typical Chinese stuff
5.0 out of 5 stars,"Its probably the best, been using it since last few months and the smartphone is a beast. Serves all my needs well."
5.0 out of 5 stars,Good
5.0 out of 5 stars,Processor 845 is best . Dual camera n low light photography is good .
5.0 out of 5 stars,Works perfectly
1.0 out of 5 stars,Damaged product
5.0 out of 5 stars,Excellent
4.0 out of 5 stars,"ProsBrilliant displayFace unlock is accurate.Fast charging and very good battery lifeOS is simple and non cluttered , close to stock androidNotch design is good.ConsFingerprint scanner doesn't work properly.No headphone jack.Loudspeaker placement is not good. Most of the time I cover it while using landscape mode.Camera could have been much better as compared to many cheaper phones."
5.0 out of 5 stars,Really good product..I appreciate it! Thanks to Amazon. Every feature is good.The mobile is very fast and smooth battery also very good
5.0 out of 5 stars,"Even I had some concerns about indisplay fingerprint reader before buying this product but after using it for 2 weeks now, it seems that the fingerprint reader works same as the physical fingerprint reader. Though it may seem like indisplay fingerprint reader is slow but trust me it's the same blazing fast speed when I compared it with one plus 6."
5.0 out of 5 stars,Good
4.0 out of 5 stars,V good
3.0 out of 5 stars,Picture quality is good. Face recognition is good.Phone overall is good. But I am facing phone heat problem sometimes.64 & 128 GB ram configuration is not useful when the phone is getting heated.Memory is just 30percent used.still my phone is heated. Not happy. 38000 wasted on this phone.
5.0 out of 5 stars,It's fast processing
4.0 out of 5 stars,To be honest the phone McLaren is good but the phone does not seem to have 10 GB RAM instead you can buy a normal oneplus 6t with 8GB RAM. The phone is absolutely good but not worth to be a 50000 . U may buy a normal one.
5.0 out of 5 stars,"All those who have bought it, are set for atleast next 3 years. Unbeatable phone!"
4.0 out of 5 stars,It's totally worth of your money.
5.0 out of 5 stars,Super phone. Value for money.
4.0 out of 5 stars,All you need you got in One Plus
5.0 out of 5 stars,There was no bill of my order in the package.. I want my bill
1.0 out of 5 stars,"Some accessories are missing in the box like pin ,user manual.Bad experience.How ever phone is working well."
5.0 out of 5 stars,Perfect
5.0 out of 5 stars,Good condition.
5.0 out of 5 stars,Phone is weightfull
5.0 out of 5 stars,Ultimately best
