stars,comment
5.0 out of 5 stars,"There was no bill of my order in the package.. I want my bill
            "
5.0 out of 5 stars,"I got delivery within one day.overall performance like face recognition, camera quality is good. Speed of phone is ausm...i love it
            "
1.0 out of 5 stars,"Worst experience ever.. I didn't expect this from oneplus one which calls itself as flagship killer.. the first phone which I bought had excessive heating issues on usage of camera; I got it replaced as after verification it was confirmed that the phone is defective.. now the 2nd phone which I got as a replacement is also have heating issues.. but this time while phone is in charge.. I called CS again and explained about my issues.. after downloading blancco diagnostic app it was confirmed that the phone heata up when in charge.. on normal usage the temperature of this is around 34-35 degree C, but when in charge it will be increased to 41-42 degree.. but the technician who was on call for support argued with me that 42 degree C is normal temperature for any phone.. excuse me oneplus and amazon, I didn't pay money for a phone which heats up when in charge.. this is not some dabba phone.. this is one plus sir.. m extremely disappointed with performance as well.. this phone hangs up on excessive usage of camera.. 4k camera zoom doesn't work all time and if I try to do it automatically exit from camera and go to home page(surprisingly it changed my wallpaper as well).. not happy with the performance of this phone.. paid 38k and bought it through EMI with a hope that I'll get a good phone.. but the scene is different here and even amazon can't help it even after verification.. m writing this big review here with a home of getting any response from the merchant.. I agree everyone is not facing this issue but not all oneplus 6T is perfect.. I m very unlucky to get 2 defective phones.. I hope amazon will help me out with this: PLEASE TRY TO RESOLVE PROBLES OF CUSTOMER AND DON'T CONVINCE OR CONFUSE THEM☹️🙏
            "
3.0 out of 5 stars,"Worst phone delivered.Getting heated up while initial setup.Only left side speaker is working.Camera is not up to the mark promised.Fingerprint doesn't work always.
            "
1.0 out of 5 stars,"Hopeless phone.. hangs a lot
            "
5.0 out of 5 stars,"Extremely awesome 😍
            "
5.0 out of 5 stars,"too good
            "
5.0 out of 5 stars,"Superb
            "
4.0 out of 5 stars,"Expectations were high big disappointment. Video quality very very bad. Slow motion always shows bad light. At night camera useless. Fingerprint sensor one of the slowest. Battery drains fast.
            "
5.0 out of 5 stars,"Worth for the money. No doubt
            "
5.0 out of 5 stars,"Excellent phone ...
            "
5.0 out of 5 stars,"Amazing phn worth ful
            "
5.0 out of 5 stars,"Fast and the best
            "
5.0 out of 5 stars,"Its probably the best, been using it since last few months and the smartphone is a beast. Serves all my needs well.
            "
5.0 out of 5 stars,"Nice product
            "
5.0 out of 5 stars,"Going well for last 3months. Only con is damn slow finger print reader.
            "
5.0 out of 5 stars,"Face recognition are Good
            "
5.0 out of 5 stars,"Nice
            "
4.0 out of 5 stars,"Other than finger reader. All are excellent loved it
            "
5.0 out of 5 stars,"Good
            "
5.0 out of 5 stars,"Amazing features, so intuitive and ease of operation
            "
1.0 out of 5 stars,"It is quite over rated product, but not justify it's high price.
            "
5.0 out of 5 stars,"Good
            "
1.0 out of 5 stars,"Bluetooth is not working
            "
4.0 out of 5 stars,"ProsBrilliant displayFace unlock is accurate.Fast charging and very good battery lifeOS is simple and non cluttered , close to stock androidNotch design is good.ConsFingerprint scanner doesn't work properly.No headphone jack.Loudspeaker placement is not good. Most of the time I cover it while using landscape mode.Camera could have been much better as compared to many cheaper phones.
            "
5.0 out of 5 stars,"Excellent Product. Real value for money.
            "
5.0 out of 5 stars,"Good
            "
5.0 out of 5 stars,"Processor 845 is best . Dual camera n low light photography is good .
            "
5.0 out of 5 stars,"Works perfectly
            "
1.0 out of 5 stars,"Damaged product
            "
5.0 out of 5 stars,"Just missing the headphone jack. No lagging after 4 months of use. Oxygen OS works like a charm. So clean and fast. Wrap charge is definitely an advantage and battery lasts for the full day. Pretty light weight. Camera works perfectly. Just a heating issue when you are out in a sun.
            "
5.0 out of 5 stars,"Nice
            "
5.0 out of 5 stars,"Vera level phone
            "
5.0 out of 5 stars,"Good
            "
5.0 out of 5 stars,"Super phone. Value for money.
            "
4.0 out of 5 stars,"All you need you got in One Plus
            "
5.0 out of 5 stars,"Very good smart phone in this range.
            "
1.0 out of 5 stars,"Waste of money.
            "
5.0 out of 5 stars,"Aasss
            "
5.0 out of 5 stars,"Nicely
            "
5.0 out of 5 stars,"I was too much impressed by my earlier One Plus 5T, that I upgraded it to 6T. Though all the features are exactly as they are claimed to be with super easy data transition due to a default app called OnePlus switch everything got sync with my new phone, including call history, wall paper, apps loaded & SMS etc.Only problem is that there is no exploring excitement because it does'nt look like a new phone. Both phone look & feel exactly same except relocation of buttons which shall take some time to bring in the habit. New phone is felt slightly thicker in hands. Screen area is more, finger print sensor is funky.But the bottom line is, my next phone too shall be One Plus only.
            "
5.0 out of 5 stars,"Good
            "
5.0 out of 5 stars,"Good product
            "
5.0 out of 5 stars,"Khvfkophfswunveiof woodwork brindle musical laptop Osijek program making Slovak owns make slam lake heap
            "
4.0 out of 5 stars,"V good
            "
